Group.1	1-AC-PMA	1-Abd-PMA	1-Abd	1-FH-PMA	1-FH	1-UB-PMA	1-UB	1-AC	2-AC-PMA	2-AC	2-FH-PMA	2-FH	2-PC-PMA	2-PC	2-UB-PMA	2-UB	3-AC-PMA	3-AC	3-Abd-PMA	3-Abd	3-FH-PMA	3-FH	3-PC-PMA	3-PC	3-UB-PMA	3-UB	4-AC-PMA	4-AC	4-FA-PMA	4-FA	4-FH-PMA	4-FH	4-PC-PMA	4-PC	4-UB-PMA	4-UB	5-AC-PMA	5-AC	5-FA-PMA	5-FA	5-FH-PMA	5-FH	5-PC-PMA	5-PC	5-UB-PMA	5-UB	6-AC-PMA	6-AC	6-FH-PMA	6-FH	6-PC-PMA	6-PC	6-UB-PMA	6-UB	7-FA-PMA	7-FA	7-FH-PMA	7-FH	7-PC-PMA	7-PC	7-UB-PMA	7-UB	8-AC-PMA	8-AC	8-Abd-PMA	8-Abd	8-FA-PMA	8-FA	8-FH-PMA	8-FH	8-PC-PMA	8-PC	8-UB-PMA	8-UB	9-AC-PMA	9-AC	9-FH-PMA	9-FH	9-PC-PMA	9-PC	10-Abd-PMA	10-Abd	10-FA-PMA	10-FA	10-FH-PMA	10-FH	10-UB-PMA	10-UB	11-AC-PMA	11-AC	11-FA-PMA	11-FA	11-FH-PMA	11-FH	11-PC-PMA	11-PC	11-UB-PMA	11-UB
Staphylococcus saprophyticus	63.5	1	1.5	22	19	3	1	24	424	317	87	61	138	10	159	67	1	1822	0	95	4	3	517	397	0	1	4374	9491	2050	5083	284	102	4244	1238	24	108	80	486	1303	1162	78	133	1795	1188	214	34	712	682	136	84	492	898	6	6	533	348	17	28	13	208	79	15	359	480	806	312	2237	923	202	359	598	933	1923	1610	511	779	9	1187	1571	1779	0	74	10111	114	35	26	65	21	1	5	79	49	7	4	66	52	7	4
Kocuria kristinae	88.5	202.5	144	156	127	1725	1446.5	17	107	903	4	16	206	7	66	37	101	101	427	223	0	2	172	196	3	6	735	875	557	854	78	54	247	112	124	60	21	109	180	191	8	5	278	189	25	4	405	282	47	79	203	157	126	62	145	200	10	16	1	31	13	8	83	100	472	276	1121	565	42	125	454	257	179	418	572	1616	8	234	1163	2126	136	109	106	53	6	10	42	8	0	1	16	9	3	3	13	0	20	18
Morococcus cerebrosus	79.5	42	14.5	11	7.5	10	12	39	289	873	33	62	3390	21	528	464	22717	607	2925	160	3	5	455	189	0	1	2257	553	431	436	261	200	913	38	73	4	150	1021	1108	1131	4	9	915	121	24	7	1282	835	389	386	1056	418	21	14	876	724	16	38	300	367	44	14	207	80	847	488	867	542	101	493	137	115	118	328	177	99	9	2	84	54	47	77	61	35	5	3	16	5	1	0	16	32	0	1	75	5	1	0
Varibaculum cambriense	100	72.5	151.5	99	146	11	13.5	84	121	116	2	6	4457	4188	41	14	0	208	0	92	0	0	159	157	0	0	313	1598	1074	1930	71	32	1417	282	38	44	56	207	332	473	1	4	1376	1105	20	1	55	80	7	4	3	95	0	1	321	292	6	8	98	2551	18	11	517	643	3862	3035	4382	2818	107	353	33002	48824	777	1720	7	201	0	0	463	504	1	157	1947	19	4	8	0	2	10	6	221	243	3	6	3818	4945	7	65
Pseudomonas oryzihabitans	273.5	14.5	5	4.5	10	3	4	8	270	739	5	7	153	56	183	133	6	766	8368	10626	19	45	36490	54421	128	150	1222	1204	504	780	24	10	463	71	0	4	99	315	358	477	2	4	1076	695	74	10	584	415	44	94	274	239	16	1	846	583	7	9	176	255	106	24	101	39	337	71	235	104	27	60	95	64	72	129	148	13	9	2054	459	85	7	496	457	568	22	17	153	160	12	3	87	63	4	4	35	65	4	7
Acinetobacter johnsonii	76	7.5	3	4	9	7.5	6	20	863	809	0	5	959	498	147	36	78	184	951	992	0	2	1757	1915	18	14	354	445	310	494	34	11	444	66	0	8	60	59	189	117	0	2	497	208	12	3	611	231	23	26	891	188	25	8	1337	1152	36	42	223	1042	77	20	256	226	1037	582	1171	488	281	1040	557	448	665	913	241	36	15	863	461	95	64	475	275	363	69	78	213	174	10	7	81	72	0	5	51	73	3	11
Staphylococcus warneri	74	4	21.5	42.5	44	19	6.5	33	688	572	169	72	24	22	253	61	0	141	342	1406	34	49	2364	3946	19	44	805	716	187	438	38	10	3836	1016	0	2	259	951	1278	1194	50	25	28940	26293	171	42	449	127	205	69	440	334	10	4	530	334	20	14	377	249	63	4	34	24	91	58	160	85	15	38	146	126	334	370	491	119	5	155	144	161	19	191	274	193	57	35	86	29	26	2	187	111	5	8	63	66	11	9
Corynebacterium jeddahense	59	17	9.5	6	5.5	2	7	56	248	503	11	10	128	29	75	35	5	441	1034	1367	3	15	3126	5930	6	7	358	497	316	442	66	55	1097	178	22	16	25989	116787	159613	229495	115	146	46715	49088	2939	468	13194	19684	341	969	4661	8488	278	148	545	613	7	21	606	1655	20	20	31	55	218	73	449	185	2	21	1444	1228	80	188	681	2661	2	324	2061	2607	42	1392	25	75	22	24	33	45	1	0	20	10	0	0	14	27	0	0
Lautropia mirabilis	58.5	11	2.5	6.5	7	2	1.5	4	3394	2953	96	317	561	102	4132	3554	2	1322	79	55	2	6	411	58	1	0	644	546	813	1116	542	385	208	69	2	9	120	318	2078	3742	20	20	427	251	43	15	1325	1281	604	1172	1181	821	41	13	1417	2193	88	170	287	674	139	78	61	70	484	252	763	319	90	505	306	127	98	231	37	62	3	1	92	21	356	124	277	38	7	2	5	18	8	2	84	78	2	0	43	4	0	2
Prevotella melaninogenica	380	3.5	7	19.5	19.5	3	1	21	562	580	109	185	86	109	1629	880	66	234	141	76	0	1	81	305	2	1	718	304	261	476	69	23	266	57	2	2	130	306	630	558	9	14	298	202	83	7	587	237	603	535	437	228	20	5	675	335	31	21	260	264	17	7	37	22	119	70	226	105	9	56	66	197	108	121	2005	1840	0	182	129	56	95	120	158	268	12	17	63	49	0	0	43	28	3	2	149	41	4	6
Pseudomonas luteola	64.5	4.5	2	1.5	3	2.5	4	7	410	218	5	7	183	39	156	43	3	774	3050	3748	7	8	7661	5259	588	1165	1029	1132	627	854	45	15	1379	283	73	55	32	255	82	86	0	1	327	155	12	1	1231	764	67	87	1075	924	57	7	342	402	2	3	245	63	18	0	65	105	445	244	637	367	29	156	485	184	207	433	3550	3308	18	384	15330	9031	0	0	145	134	16	14	77	109	6	2	86	71	1	1	40	79	4	7
Kocuria salsicia	139	6	2.5	163.5	265.5	52	43.5	22	223	186	5	29	132	63	91	39	2	7	0	105	1	3	259	49	0	1	229	260	181	223	36	13	199	50	21	6	476	2078	2429	3521	259	536	2889	2254	381	72	820	654	45	103	594	491	14	10	77	36	0	1	44	143	15	5	35	43	98	38	134	42	5	18	258	220	44	67	113	94	0	335	231	158	81	832	301	409	933	881	1197	2132	352	55	655	609	2545	2971	39	96	435	1454
Corynebacterium durum	151	6	13	23	31.5	1.5	5	38	288	501	36	71	94	15	348	334	1	788	0	69	0	2	198	139	0	0	2738	2059	1883	3119	1348	908	797	229	0	88	198	966	2444	3150	16	38	464	214	175	34	266	115	11	14	628	158	13	2	886	1027	31	48	1427	216	95	42	289	261	733	521	1680	1024	82	285	240	245	332	776	19	67	12	399	113	113	61	13	97	62	7	17	25	29	3	1	78	84	0	4	6	8	0	2
Paracoccus sanguinis	54	15.5	8	14.5	19	8	9	22	157	460	7	17	343	32	134	41	2	684	674	249	2	3	588	149	5	7	358	387	327	275	22	11	314	199	34	5	2638	12834	9011	13354	33	53	23667	22424	1305	254	937	439	23	25	355	379	17	5	233	183	12	9	0	103	32	25	143	52	208	151	312	153	8	38	280	101	145	229	70	17	4	540	1459	704	173	2647	566	1492	84	70	181	257	12	4	156	139	5	4	52	90	8	16
Corynebacterium singulare	109.5	30.5	14	11.5	19.5	3.5	3.5	85	180	481	13	22	19	112	154	100	42	338	4730	3799	15	64	7666	14078	10	52	342	141	156	181	13	9	153	59	0	2	91	333	332	597	70	187	1000	530	64	10	998	1422	90	117	1802	3234	20	11	232	133	2	9	287	771	15	5	23	25	82	64	268	77	3	7	797	721	31	71	1820	4938	2	507	7851	7855	2	1509	997	47	41	31	63	34	1	2	61	31	0	2	91	125	4	7
Dietzia maris	280.5	48	41	20.5	32	39.5	56.5	484	331	143	11	12	176	60	85	28	664	939	258	57	6	4	456	267	9	5	2331	2358	931	1082	63	26	956	280	22	22	120	454	675	783	12	9	850	667	93	12	3248	2136	141	322	1683	1341	86	16	142	99	9	9	5	60	64	11	140	157	364	234	850	345	21	46	404	174	275	613	218	103	15	1088	629	198	18	391	460	1294	38	16	57	44	1	3	83	53	10	12	21	9	10	8
Streptococcus parasanguinis	377	32.5	23.5	30	45	19.5	3.5	38	332	358	33	35	297	14	189	65	597	1573	347	110	1	4	618	133	0	1	392	792	367	474	250	104	405	85	0	3	103	595	712	820	11	17	159	222	60	11	492	263	190	53	636	160	21	7	1188	845	36	67	61	440	64	19	14	52	208	131	335	128	37	94	89	91	113	174	371	616	11	574	85	80	117	16	38	169	13	10	29	16	0	1	21	9	0	4	114	12	0	0
