#FeatureID	1-AC-PMA_filtered	1-Abd-PMA_filtered	1-Abd_filtered	1-FH-PMA_filtered	1-FH_filtered	1-PC-PMA_filtered	1-UB-PMA_filtered	1-UB_filtered	10-AC_filtered	10-Abd_PMA_filtered	10-Abd_filtered	10-FA_PMA_filtered	10-FA_filtered	10-FH_PMA_filtered	10-FH_filtered	10-PC_filtered	10-UB_PMA_filtered	10-UB_filtered	11-AC_PMA_filtered	11-AC_filtered	11-Abd_filtered	11-FA_PMA_filtered	11-FA_filtered	11-FH_PMA_filtered	11-FH_filtered	11-PC_PMA_filtered	11-PC_filtered	11-UB_PMA_filtered	11-UB_filtered	1bis-AC-PMA_filtered	1bis-AC_filtered	1bis-Abd-PMA_filtered	1bis-Abd_filtered	1bis-FA-PMA_filtered	1bis-FH-PMA_filtered	1bis-FH_filtered	1bis-PC-PMA_filtered	1bis-UB-PMA_filtered	1bis-UB_filtered	2-AC-PMA_filtered	2-AC_filtered	2-Abd-PMA_filtered	2-FA_filtered	2-FH-PMA_filtered	2-FH_filtered	2-PC-PMA_filtered	2-PC_filtered	2-UB-PMA_filtered	2-UB_filtered	3-AC-PMA_filtered	3-AC_filtered	3-Abd-PMA_filtered	3-Abd_filtered	3-FA_filtered	3-FH-PMA_filtered	3-FH_filtered	3-PC-PMA_filtered	3-PC_filtered	3-UB-PMA_filtered	3-UB_filtered	4-AC-PMA_filtered	4-AC_filtered	4-Abd_filtered	4-FA-PMA_filtered	4-FA_filtered	4-FH-PMA_filtered	4-FH_filtered	4-PC-PMA_filtered	4-PC_filtered	4-UB-PMA_filtered	4-UB_filtered	5-AC-PMA_filtered	5-AC_filtered	5-Abd_filtered	5-FA-PMA_filtered	5-FA_filtered	5-FH-PMA_filtered	5-FH_filtered	5-PC-PMA_filtered	5-PC_filtered	5-UB-PMA_filtered	5-UB_filtered	6-AC-PMA_filtered	6-AC_filtered	6-Abd_filtered	6-FA_filtered	6-FH-PMA_filtered	6-FH_filtered	6-PC-PMA_filtered	6-PC_filtered	6-UB-PMA_filtered	6-UB_filtered	7-AC_filtered	7-Abd_filtered	7-FA-PMA_filtered	7-FA_filtered	7-FH-PMA_filtered	7-FH_filtered	7-PC-PMA_filtered	7-PC_filtered	7-UB-PMA_filtered	7-UB_filtered	8-AC_PMA_filtered	8-AC_filtered	8-Abd_PMA_filtered	8-Abd_filtered	8-FA_PMA_filtered	8-FA_filtered	8-FH_PMA_filtered	8-FH_filtered	8-PC_PMA_filtered	8-PC_filtered	8-UB_PMA_filtered	8-UB_filtered	9-AC_PMA_filtered	9-AC_filtered	9-Abd_filtered	9-FA_filtered	9-FH_PMA_filtered	9-FH_filtered	9-PC_PMA_filtered	9-PC_filtered	9-UB_filtered
Peptoniphilus rhinitidis	182	4	6	37	38	316	0	4	260	309	267	417	143	32	29	179	276	105	2	0	1	3	4	0	0	35	33	0	0	46	22	13	33	247	214	178	610	26	3	860	32	187	26	4	7	63	54	23	8	0	42	0	51	107	0	1	151	123	1	1	185	563	1229	269	336	115	37	175	61	0	3	66	125	114	160	117	0	1	227	187	17	0	370	123	97	258	410	133	226	152	13	0	63	115	665	336	47	58	135	473	54	11	9	29	211	86	183	107	11	19	846	733	105	74	142	128	783	569	112	1121	331	200	12
Peptoniphilus sp. oral taxon 375	7	3	0	1	2	60	2	0	0	0	62	0	0	0	1	0	8	4	0	0	0	2	2	0	0	20	35	0	0	0	5	0	10	1	6	6	155	0	0	39	8	187	91	0	1	659	612	0	0	0	3	26	0	0	0	0	39	25	0	0	62	42	648	106	109	1	1	65	18	0	0	4	3	58	16	27	0	0	66	75	2	0	1	0	1	6	0	0	2	8	0	0	19	1	17	7	0	0	1	0	0	1	44	35	271	183	363	191	4	6	3412	4224	67	99	0	4	10	13	0	0	30	15	0
Porphyromonas bennonis	72	39	38	7	3	561	2	3	0	43	87	0	30	0	1	310	0	1	2	3	13	59	10	0	0	123	229	0	1	24	7	3	11	136	6	5	2007	0	0	10	67	180	47	2	1	2949	1839	22	14	0	87	0	69	106	1	2	227	103	1	1	124	245	1590	467	633	19	4	537	144	2	15	13	2	30	0	16	0	1	426	87	1	0	99	72	53	18	4	9	197	153	3	2	4	0	53	32	0	0	113	70	0	0	116	214	1304	864	1398	634	21	63	29789	29919	289	472	0	6	4	12	0	175	56	41	0
Porphyromonas somerae	1416	381	132	32	61	8049	235	130	0	197	107	1	27	6	4	184	0	2	2	4	7	49	74	1	14	64	55	4	11	488	189	19	88	2487	64	43	1220	3	11	3043	4621	7130	4400	56	176	7901	327	1540	501	10357	9866	7251	1703	865	3	29	2537	2426	11	3	6354	879	5071	1028	946	254	111	2071	167	153	13	569	1874	2040	1460	118	12	2	2421	351	32	8	2920	1781	370	1483	320	390	4521	633	39	7	3725	6810	2984	2614	68	90	7896	2147	253	40	20	67	363	191	424	215	28	134	156	158	154	264	988	1303	220	1319	0	177	92	35	0
Prevotella bivia	70	11	6	1	4	343	2	1	0	0	50	107	7	26	7	214	9	5	4	0	2	17	7	0	0	85	151	1	0	33	35	29	61	159	144	142	10093	4	5	86	34	556	71	6	4	1038	991	51	25	0	115	246	39	17	0	1	122	30	0	1	686	1034	3261	1086	1431	10	4	1429	348	52	4	14	22	319	35	50	2	0	165	64	9	0	6	26	11	37	12	5	84	8	0	0	110	591	690	740	10	9	297	1027	17	14	67	95	741	445	690	382	34	56	3283	3476	207	304	51	141	71	137	0	99	136	34	2
Prevotella buccalis	87	25	22	7	7	1579	3	3	192	218	445	69	6	7	4	134	83	11	4	1	13	21	19	0	8	492	896	1	3	13	10	3	17	33	18	18	949	7	1	334	174	100	65	4	8	3829	3509	22	13	0	41	0	66	155	0	2	162	161	0	3	0	159	1017	253	338	14	4	342	110	0	11	11	21	764	52	51	0	0	286	295	4	6	56	44	72	29	12	6	234	123	2	0	157	217	395	241	15	14	278	1583	42	5	172	139	980	605	812	466	34	153	8746	8907	226	371	94	56	202	127	4	2176	713	213	1
Prevotella copri	5	0	0	1	5	43	0	0	148	0	0	0	58	1	1	39	7	7	1	0	0	20	7	0	0	8	5	0	1	0	4	1	2	123	7	5	31	1	5	110	20	0	24	0	1	32	43	15	5	0	116	0	3	4	0	0	2	0	0	0	307	190	336	157	168	18	7	566	108	0	0	74	203	3841	538	577	3	12	3438	3300	25	12	9	52	33	22	5	3	57	34	1	1	17	0	11	10	0	0	9	0	1	0	40	39	80	43	197	62	5	15	197	139	70	57	16489	13957	281	4620	6	0	995	410	2
Prevotella corporis	27	20	16	4	3	1626	4	2	0	0	0	0	0	9	5	159	16	0	0	6	14	118	76	0	1	1150	1926	0	19	16	7	2	18	93	14	6	1606	2	0	108	125	629	239	10	6	5758	7698	51	30	0	131	0	30	17	0	0	49	118	3	0	80	239	2078	154	237	18	15	1288	323	0	17	63	269	6133	503	561	6	4	4070	2977	36	9	7	0	28	27	12	0	0	72	3	0	24	24	55	70	1	1	166	153	5	0	119	73	402	266	530	264	15	37	3578	3866	136	159	107	52	1	44	5	238	8	7	0
Prevotella melaninogenica	758	4	12	17	28	145	6	1	12	95	120	158	268	12	17	103	63	49	0	0	6	43	28	3	2	149	41	4	6	2	21	3	2	227	22	11	114	0	1	562	580	791	3283	109	185	86	109	1629	880	66	234	141	76	77	0	1	81	305	2	1	718	304	2201	261	476	69	23	266	57	2	2	130	306	3661	630	558	9	14	298	202	83	7	587	237	263	2014	603	535	437	228	20	5	252	640	675	335	31	21	260	264	17	7	37	22	119	70	226	105	9	56	66	197	108	121	2005	1840	549	2406	0	182	129	56	2
Prevotella timonensis	174	47	66	16	20	4321	0	20	124	0	0	0	44	0	1	74	0	1	18	10	81	173	176	8	10	6237	9752	11	36	15	29	8	42	234	146	169	5017	9	16	97	76	1002	113	9	15	6394	5510	56	14	1	454	75	119	161	3	8	715	658	6	6	87	306	1764	491	612	21	10	469	111	38	10	41	74	1920	275	218	0	0	1831	1299	21	3	14	1	6	8	16	1	78	8	0	1	101	306	318	269	5	16	108	1084	30	1	300	385	2129	1505	1847	1110	97	291	14846	17963	625	809	26	70	137	67	0	1	264	84	0
Propionibacterium humerusii	99247	91187	32707	42278	25500	33543	33994	29707	5281	1844	2524	3931	841	4987	2420	4541	1494	861	1426	627	2112	5789	4079	40811	27525	599	513	2788	3313	45702	37553	30708	18461	47254	29537	22507	33209	5698	4792	5679	3242	5326	5129	15330	17251	1724	266	10749	6932	4080	6622	118402	107669	25572	63084	43284	26451	38621	65991	57017	18791	17221	37725	8161	12753	45152	18937	2140	559	93266	35398	59742	109062	95137	76081	63148	38483	39479	34921	18144	77191	10822	10729	7087	1512	4894	5083	9216	2615	1776	1065	484	48654	102051	35167	40358	62094	36219	3809	23378	62477	25647	1263	1112	6130	4405	10860	5458	9091	32220	1883	1395	5008	12295	2793	2958	1910	4048	12460	11269	2106	1355	30391
Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16	68	8	3	3	1	108	2	3	730	87	237	168	182	69	56	122	174	198	6	0	3	35	16	0	0	20	10	0	0	3	0	1	1	30	0	4	178	2	0	153	468	0	80	1	1	141	13	24	6	1	42	241	117	129	0	0	429	187	1	8	194	210	547	145	197	18	5	321	48	0	2	68	38	94	150	30	1	0	78	46	0	1	135	100	37	83	5	4	596	50	6	0	145	374	946	978	25	29	314	1238	43	10	159	146	816	516	679	371	278	1145	271	321	555	1041	223	9	35	1377	3	765	138	2	1
Pseudomonas luteola	126	9	1	1	2	212	0	1	3163	0	0	145	134	16	14	671	77	109	6	2	9	86	71	1	1	40	79	4	7	3	7	0	3	4	2	4	318	5	7	410	218	0	532	5	7	183	39	156	43	3	774	3050	3748	3115	7	8	7661	5259	588	1165	1029	1132	4679	627	854	45	15	1379	283	73	55	32	255	509	82	86	0	1	327	155	12	1	1231	764	562	698	67	87	1075	924	57	7	48	244	342	402	2	3	245	63	18	0	65	105	445	244	637	367	29	156	485	184	207	433	3550	3308	12586	6219	18	384	15330	9031	543
Pseudomonas oryzihabitans	536	23	1	5	16	5877	4	6	2931	7	496	457	568	22	17	275	153	160	12	3	6	87	63	4	4	35	65	4	7	11	8	6	9	66	4	4	205	2	2	270	739	0	619	5	7	153	56	183	133	6	766	8368	10626	7087	19	45	36490	54421	128	150	1222	1204	629	504	780	24	10	463	71	0	4	99	315	1308	358	477	2	4	1076	695	74	10	584	415	158	767	44	94	274	239	16	1	189	446	846	583	7	9	176	255	106	24	101	39	337	71	235	104	27	60	95	64	72	129	148	13	103	74	9	2054	459	85	3
Pseudomonas stutzeri	673	50	12	4	5	1953	9	11	4211	2084	920	1848	1223	23	11	390	127	25	10	0	20	194	92	3	6	77	151	24	20	33	12	5	3	389	6	6	1419	8	2	70002	31088	5343	20534	145	31	28759	1846	9681	660	3202	543	12446	5609	2206	37	23	37886	3883	39	26	6655	1000	2727	1231	1020	50	12	2311	201	73	13	861	1335	19169	4056	2102	9	8	8115	6088	283	41	12341	1907	208	2203	168	78	3633	14583	154	10	1321	2669	36766	12853	73	281	6913	10065	1540	122	601	241	2328	1369	2183	782	35	175	944	428	460	852	1380	95	309	205	19	3587	910	239	22
Pseudonocardia autotrophica	170	21	1	3	6	340	23	6	36	346	339	220	73	11	19	175	5	17	4	1	7	35	8	0	1	21	10	1	2	2	5	0	11	41	4	8	355	6	5	134	64	130	184	5	8	249	7	88	20	10	2826	184	38	53	3	5	618	148	2	1	5052	5686	2731	13157	19595	80	49	553	185	7	8	114	174	594	420	386	3	2	534	292	44	2	490	121	75	97	25	19	302	118	10	0	39	0	288	281	10	16	45	25	10	1	43	54	351	146	337	182	10	22	103	74	90	204	146	78	235	157	2	872	8788	6460	7
Psychrobacter alimentarius	48	1	0	0	0	141	3	6	0	13	22	35	13	20	23	2231	3	6	0	0	2	4	4	0	1	2	8	1	1	11	14	3	6	11	3	5	274	2	2	3	0	0	39	1	0	0	0	6	7	0	385	90	5	1	0	1	29	4	0	0	960	1873	4633	5539	6562	96	54	1117	296	5	26	54	291	2067	742	643	24	33	2205	1884	209	61	40	44	12	47	1	1	346	37	0	0	268	2332	1124	1484	29	58	133	1161	39	13	146	148	599	419	913	543	40	104	455	661	356	588	0	8	16	42	8	0	93	9	0
Psychrobacter sp. TB15	3393	274	496	35	59	13642	369	856	8	11	36	31	4	0	3	50	0	0	1	0	0	5	10	1	0	2	0	0	0	201	734	103	461	1244	23	51	22455	154	167	101	193	99	82	1	0	166	40	14	20	0	987	0	4	18	0	0	68	75	0	0	1607	3805	1047	953	1302	38	11	728	148	1	3	81	166	1595	503	577	2	2	1946	1665	76	14	40	31	31	41	2	11	87	51	11	0	41	369	375	312	6	9	5	31	5	4	163	113	433	189	686	230	14	49	227	159	191	269	0	0	0	69	0	1	28	13	0
Rothia dentocariosa	1557	316	149	97	199	11868	192	202	414	668	922	510	354	93	77	781	72	84	14	7	19	196	167	1	7	35	26	1	21	732	237	12	104	4204	103	118	2747	19	12	3916	7501	7560	7213	137	187	9387	256	1482	674	16781	13370	11965	721	738	15	28	2628	1782	9	10	15160	7134	12172	5471	7016	9813	6181	5329	1117	623	66	3149	7495	14065	21682	29353	145	257	5196	2370	1098	299	6442	3572	1505	6953	1059	1265	12635	1430	103	32	2657	4653	2358	2347	79	85	9524	3390	248	56	261	259	1342	730	2085	1158	140	527	591	419	372	871	712	915	530	618	26	1994	681	219	11
Rothia mucilaginosa	2576	952	194	151	180	9947	341	376	234	0	357	215	172	29	35	375	56	46	0	12	3	45	50	1	1	103	16	2	3	870	350	41	157	6679	202	286	4100	26	37	5445	12495	17730	5624	142	291	12891	413	2739	1481	31916	12650	16367	1007	827	21	39	10236	2792	16	8	10003	2751	4682	1480	1417	419	288	3243	478	203	19	1987	2514	4977	3650	1576	36	45	7287	869	213	36	5027	4500	1476	1593	419	506	11690	1712	82	21	4689	11834	4342	2737	83	86	13626	3025	578	91	286	208	3345	1735	1737	977	360	1518	741	581	381	725	828	2459	185	559	9	1049	292	178	5
Shigella dysenteriae	65	7	0	0	0	76	0	0	150	116	217	818	81	8	2	84	29	1	1	0	1	5	2	1	3	9	5	0	1	0	22	1	0	22	0	2	109	0	0	363	69	11	5	4	0	7	34	281	7	0	47	3	20	7	0	0	270	42	0	0	59	182	30	15	20	9	0	1093	12	8	0	21	2	195	84	31	1	2	731	26	1	0	96	3	7	1	3	0	106	3	7	2	20	1	54	33	0	0	19	2	115	1	2	2	14	2	27	1	0	1	67	11	17	3	103	2	2	6	11	471	164	1	2
Shigella flexneri	49	11	0	1	0	335	1	0	73	118	289	688	52	11	1	154	27	0	1	0	1	6	1	0	0	13	7	1	0	0	12	0	1	9	0	0	240	2	0	493	291	183	33	0	1	142	83	239	4	0	59	196	14	2	0	0	507	22	0	1	313	260	66	62	20	7	3	1860	18	1	2	116	7	147	236	49	1	1	1368	23	11	2	144	13	10	12	0	2	180	15	4	10	6	0	51	0	1	0	251	57	159	2	36	0	72	5	43	7	1	0	68	18	29	1	52	7	31	24	24	2656	187	5	1
Sphingomonas sp. Ag1	399	63	5	5	5	690	24	6	1035	782	423	965	782	33	32	109426	46	93	10	5	14	72	43	0	4	52	60	3	2	43	30	0	8	261	6	6	1331	6	3	1694	2582	1532	988	20	10	646	191	689	119	2088	2464	2801	328	141	2	2	3018	870	3	1	4286	7042	18321	2462	3538	188	70	3546	1096	206	123	290	378	926	473	269	3	4	1392	523	32	4	1423	286	73	97	28	19	1009	151	18	0	67	531	1147	334	7	4	771	427	91	7	1292	1023	3722	2905	4801	2812	59	187	2388	1979	1784	3820	455	98	336	115	27	717	1872	997	19
Staphylococcus capitis	1920	37	45	5755	6189	2222	203	190	4422	492	1897	2158	2178	8051	3476	4345	1110	797	481	114	158	1381	636	86	68	2260	935	546	673	226	229	55	88	1017	8699	6193	5213	506	204	2858	1298	1522	1917	1206	1103	280	261	9514	3755	119	1668	6200	10106	2943	1611	1189	27640	34384	81	132	4769	8354	10434	3257	5838	3933	893	128653	13872	86	84	397	1058	2686	6060	3703	681	520	9196	5679	2187	261	9002	8024	1823	8321	24423	11085	3535	2857	299	104	2295	1746	7193	4041	4693	3575	1186	3969	2536	618	693	746	3779	2274	5338	2591	28223	36980	1280	1704	9597	11614	4078	4594	4823	3842	2968	905	6852	6073	77
