#OTU ID	1-FH-PMA	1-UB-PMA	1-AC-PMA	1-PC-PMA	1-Abd-PMA	2-FH-PMA	2-UB-PMA	2-AC-PMA	2-PC-PMA	2-Abd-PMA	3-FH-PMA	3-UB-PMA	3-AC-PMA	3-PC-PMA	3-Abd-PMA	4-FH-PMA	4-UB-PMA	4-AC-PMA	4-PC-PMA	4-FA-PMA	5-FH-PMA	5-UB-PMA	5-AC-PMA	5-PC-PMA	5-FA-PMA	6-FH-PMA	6-UB-PMA	6-AC-PMA	6-PC-PMA	7-FH-PMA	7-UB-PMA	7-PC-PMA	7-FA-PMA	8-FH-PMA	8-UB-PMA	8-AC-PMA	8-PC-PMA	8-FA-PMA	8-Abd-PMA	9-FH-PMA	9-AC-PMA	9-PC-PMA	10-FH-PMA	10-UB-PMA	10-FA-PMA	10-Abd-PMA	11-FH-PMA	11-UB-PMA	11-AC-PMA	11-PC-PMA	11-FA-PMA	12-FH-PMA	12-UB-PMA	12-AC-PMA	12-PC-PMA	12-FA-PMA	12-Abd-PMA
SMGC_539	236	491	4239	10258	1746	130	4233	9690	22807	16988	30	18	63575	12661	25628	515	605	13987	5431	2002	31	307	3386	13213	5315	1028	227	9159	16635	107	695	21507	5423	598	471	348	1090	2490	3819	5	930	554	56	71	498	64	11	15	6	83	66	288	41	1722	7032	8836	49
SMGC_540	162	86	1679	1046	74	162	1984	1458	416	2914	14	18	5451	1607	1393	1660	36	3798	1454	2071	22	124	218	1505	1239	1154	78	5415	4827	142	236	1886	4334	164	645	232	356	1698	1110	4	3796	1262	52	256	531	1085	0	10	14	242	159	228	14	455	1456	1823	20
SMGC_541	222	104	2240	4269	156	304	1540	2101	1977	2656	10	8	4017	2953	1850	5835	98	5581	2892	3574	64	288	867	2000	10253	3524	211	6845	6022	605	868	1553	15546	1071	1966	808	1576	5838	6190	56	3236	1313	108	280	1256	1642	12	6	34	167	645	263	26	392	1866	1711	28
SMGC_544	69	66	873	3448	330	204	3129	2699	13919	11235	11	4	110340	2113	10916	1361	372	5406	3756	2171	20	181	839	3994	6782	1715	112	5600	6388	72	192	1808	5495	566	833	681	736	3956	3710	20	468	322	37	36	454	128	4	6	14	272	170	28	2	322	1726	2003	20
SMGC_545	100	138	2775	7921	722	103	1872	7529	5674	9704	50	48	1494	22309	2205	404	109	10453	4178	5159	72	496	1545	26551	3956	53184	14687	607440	364876	119	966	6284	17539	178	2239	1775	6807	5318	4604	688	5518	5994	385	1505	47040	6657	69	127	136	730	1211	164	226	280	16175	2875	82
SMGC_55	138	32	1404	963	64	246	1129	1596	1470	2902	0	2	3746	1550	926	5374	26	3219	2814	3435	96	230	1166	2045	9286	2394	124	4035	5122	524	751	2453	16856	1365	2248	787	2142	7576	6817	48	2399	899	76	224	440	226	2	14	28	188	419	56	4	166	893	1731	8
SMGC_56	97	168	2072	7163	328	80	367	1285	1152	1864	37	101	1608	40856	14077	842	71	5910	9964	2734	82	813	3950	13865	24264	281	124	4324	3192	101	636	2825	3887	257	414	529	3413	2369	1136	137	9387	22225	410	507	1011	250	151	169	53	215	203	225	113	150	5297	1238	110
SMGC_573	54	51	614	8753	206	84	1236	3460	2338	3988	4	4	7926	568	2275	5448	586	7293	3396	3648	26	147	1186	1956	4660	1474	66	6982	8669	47	142	4913	924	110	334	392	588	1614	928	0	586	750	72	74	292	0	3	2	2	34	130	94	14	155	1299	2033	6
SMGC_590	75	387	940	4906	481	40	1833	6252	7189	2456	34	16	20	15445	2216	336	325	8594	5384	2744	2069	23019	33499	333501	165078	238	96	6154	4563	46	339	1244	2559	105	540	479	1184	1971	1223	157	4408	52968	1007	1535	4853	1538	102	109	72	306	483	170	444	654	29383	1610	56
SMGC_601	157	366	584	1934	280	77	684	362	1582	528	102	170	496	64899	33548	253	184	786	1141	696	30	545	970	3282	2443	800	365	6963	10647	52	604	784	965	339	254	198	2081	907	622	79	2451	11190	491	512	553	106	230	134	51	169	158	202	323	118	2955	551	60
SMGC_611	10	6	34	227	4	20	126	24	0	86	0	0	2	52	2	373	110	4549	9603	4668	8	40	98	128	58	62	2	386	58	14	30	74	184	155	2194	778	1942	5398	2300	0	424	50	2	42	276	772	0	0	0	24	30	10	6	0	92	0	0
SMGC_617	10	16	332	931	34	10	791	780	492	214	4	2	4	2700	1536	78	86	1687	1028	740	5597	12896	12947	17627	72677	204	110	4912	2032	7	44	1384	802	14	192	72	404	642	377	6	282	1843	29	68	1272	2517	2	4	0	40	44	29	16	38	1635	76	0
SMGC_619	91	1239	736	1063	140	18	293	1438	586	130	8	34	152	8309	646	445	1583	2421	16793	3656	4	292	352	1120	2108	356	80	972	614	10	1284	294	328	643	1146	1102	2716	8768	2100	52	688	626	416	640	1375	1228	4	72	6	126	128	158	1403	10	1442	536	30
SMGC_62	67	161	696	4091	139	28	580	2233	1098	1008	7	22	70	3670	6644	119	172	4384	1834	2710	154	12988	2776	34968	10570	124	71	2523	1143	24	275	268	1312	42	458	320	634	990	1008	33	2357	20244	153	326	1919	762	39	22	56	223	462	97	150	16	5705	843	22
SMGC_622	58	20	622	5483	212	10	102	416	4932	3362	12	8	0	1000	74	140	36	1546	2510	1453	6	36	104	2814	638	42	12	326	418	28	58	746	1326	180	1553	724	33277	6161	4927	0	540	2671	230	458	462	1218	10	24	10	5492	312	496	34	127	15210	1307	163
SMGC_66	139	138	2304	6792	194	252	3367	3306	6678	8377	33	33	827	8563	1985	514	167	12993	5636	4920	12869	13370	23326	73761	78907	6513	1982	67590	46892	66	310	1191	2317	195	1209	1256	6655	5215	3283	319	3916	29215	170	814	21527	5758	23	46	96	479	863	221	151	420	6813	2068	30
SMGC_7	46	130	1198	2537	82	174	1188	2259	370	2893	74	162	148	110223	46077	106	80	785	1160	1038	24	202	784	2276	4002	672	324	13621	17859	25	130	154	452	50	124	318	1204	835	316	106	926	2695	122	92	903	98	21	55	38	181	253	99	191	119	4077	1636	33
SMGC_70	710	1373	1367	7644	3405	559	1374	1171	6544	421	108	94	1445	1686	640	3546	1528	1654	2145	1630	435	3729	849	1744	2325	169	286	1112	233	376	4457	950	1916	1459	500	383	2640	1753	1107	994	6304	23755	660	707	1282	1684	517	1818	105	3380	506	941	1080	364	13895	2118	1219
SMGC_75	84	207	1639	3163	224	59	356	1658	2054	1556	96	186	5964	46168	18062	933	454	5427	14258	3555	94	834	4684	16731	29650	347	199	6461	4099	145	468	4044	4555	123	727	1006	5029	3224	1575	123	7266	25813	288	298	1883	1891	66	62	47	487	205	220	215	234	5806	1081	72
SMGC_76	259	1767	5854	21090	2016	187	2294	6771	18024	26922	374	580	284912	217733	90797	4698	2953	20703	55997	12310	229	1880	11421	42477	62643	1117	607	21281	28730	370	1672	91892	15385	402	3801	12159	15444	13036	15298	954	62427	140875	1446	7498	64795	39125	186	204	246	2198	893	475	1308	2828	11074	9194	365
SMGC_77	979	1889	3030	23565	4218	910	1564	5428	18938	24449	150	281	1642	31093	10394	4814	1771	4085	10265	7831	510	5914	3035	62465	13947	507	367	6100	8141	664	6517	6842	8086	1984	3243	2408	126576	17062	9699	1455	10306	38549	408	466	1389	629	514	2061	136	10038	1194	1015	1408	665	64977	4093	1146
SMGC_79	190	520	2907	4920	400	1187	6345	4548	4155	9656	54	64	6349	9144	2937	316	391	2191	1879	1485	140	612	2848	9204	17093	450	203	4799	3490	118	345	1338	1474	117	371	277	2398	1431	973	209	4016	40086	1183	1088	2062	1424	49	87	29	415	264	414	579	502	10913	2879	114
SMGC_84	344	172	3761	3591	665	47	718	2236	817	1666	111	73	1372	11664	3019	1804	661	13602	2892	12400	695	508	2070	5356	8185	436	174	4267	4393	174	297	5566	3613	654	1909	1902	5069	19329	9920	523	6758	10235	1089	1990	10951	2902	163	255	485	980	22453	1322	134	389	6351	4106	53
SMGC_85	98	161	622	2152	231	98	703	641	468	1052	198	228	2224	57091	26281	340	193	925	1107	1250	155	423	577	4191	2330	686	491	8547	12019	169	408	761	1226	140	237	259	3478	1245	840	122	3883	19122	185	370	1433	434	81	64	78	463	386	191	134	367	4197	1167	57
SMGC_88	64	86	1061	3140	113	49	383	1341	1241	6792	76	185	861	34303	12589	616	175	2513	12460	4156	221	215	378	4771	2578	366	142	2645	3247	97	241	2067	2286	97	875	879	3609	5131	1958	280	43342	170332	1855	1164	1359	1485	60	47	70	330	1464	251	113	420	7365	1404	58
SMGC_90	576	327	9954	36054	1335	630	5039	5987	8182	14411	1121	815	6436	418627	174551	2632	445	19598	26433	19850	2901	944	2977	33770	12152	1721	523	22891	30542	612	1512	9938	18223	434	3259	2920	19790	17580	9279	1460	209321	741253	5820	3871	3459	4221	106	211	197	12474	2380	2141	349	10548	76279	15524	437
SMGC_92	565	359	7670	33953	1224	331	3037	3909	6773	8070	592	483	3232	193756	72271	1548	241	11327	13946	10589	1323	738	1986	26759	9093	1503	519	15388	20004	418	931	7822	10589	270	2031	1465	15887	11240	6250	548	102290	354342	3671	2166	2731	2313	100	127	143	6883	1538	1666	236	9957	68261	13678	323
SMGC_94	229	557	512	756	677	245	930	662	1952	1427	88	118	1628	35866	8868	1001	546	853	851	908	104	1252	421	1738	1401	185	137	1610	2228	138	1555	505	753	332	208	226	634	732	442	431	1872	11224	474	682	552	1380	253	483	45	158	164	301	494	108	1857	474	218
SMGC_96	209	696	2004	2536	387	260	2884	3174	6985	2020	143	155	1067	2653	897	2391	597	4590	2599	4935	5921	2773	6861	10283	19085	683	303	7260	3717	230	520	1328	1099	220	547	434	968	1859	1823	140	1905	5127	616	851	1427	566	292	191	92	318	371	242	1060	178	4185	565	108
SMGC_97	169	362	1701	3727	613	200	2256	3577	7835	6027	157	147	1683	16901	2654	703	265	13907	11556	5487	17658	26459	33517	205563	161997	758	439	12680	12211	212	673	1687	2619	275	2619	1600	3337	5642	4175	192	2551	5731	2640	5135	11095	6616	154	173	114	413	713	233	362	528	6521	1572	96
